====================================================
|  #  |  SYMBOL  |     TYPE     |   VALUE   | LINE |
|=====|==========|==============|===========|======|
|  1  |  PROGRAM |      Program |   PROGRAM |    2 |
|  2  |          |  ProgramName |       pR2 |    2 |
|  3  |        ; |    Semicolon |         ; |    2 |
|  4  |      VAR |         Vars |       VAR |    3 |
|  5  |  LONGINT |      VarType |   LONGINT |    3 |
|  6  |          |   Identifier |       aAA |    3 |
|  7  |        , |        Comma |         , |    3 |
|  8  |          |   Identifier |       bBB |    3 |
|  9  |        , |        Comma |         , |    3 |
|  10 |          |   Identifier |       cCC |    3 |
|  11 |        ; |    Semicolon |         ; |    3 |
|  12 |    BEGIN |        Start |     BEGIN |    4 |
|  13 |    PRINT |        Write |     PRINT |    5 |
|  14 |        ( |      LBraket |         ( |    5 |
|  15 |          |       String | Input A:  |    5 |
|  16 |        ) |      RBraket |         ) |    5 |
|  17 |        ; |    Semicolon |         ; |    5 |
|  18 |     SCAN |         Read |      SCAN |    6 |
|  19 |        ( |      LBraket |         ( |    6 |
|  20 |          |   Identifier |       aAA |    6 |
|  21 |        ) |      RBraket |         ) |    6 |
|  22 |        ; |    Semicolon |         ; |    6 |
|  23 |    PRINT |        Write |     PRINT |    7 |
|  24 |        ( |      LBraket |         ( |    7 |
|  25 |          |       String | Input B:  |    7 |
|  26 |        ) |      RBraket |         ) |    7 |
|  27 |        ; |    Semicolon |         ; |    7 |
|  28 |     SCAN |         Read |      SCAN |    8 |
|  29 |        ( |      LBraket |         ( |    8 |
|  30 |          |   Identifier |       bBB |    8 |
|  31 |        ) |      RBraket |         ) |    8 |
|  32 |        ; |    Semicolon |         ; |    8 |
|  33 |    PRINT |        Write |     PRINT |    9 |
|  34 |        ( |      LBraket |         ( |    9 |
|  35 |          |       String | Input C:  |    9 |
|  36 |        ) |      RBraket |         ) |    9 |
|  37 |        ; |    Semicolon |         ; |    9 |
|  38 |     SCAN |         Read |      SCAN |   10 |
|  39 |        ( |      LBraket |         ( |   10 |
|  40 |          |   Identifier |       cCC |   10 |
|  41 |        ) |      RBraket |         ) |   10 |
|  42 |        ; |    Semicolon |         ; |   10 |
|  43 |       IF |           If |        IF |   11 |
|  44 |        ( |      LBraket |         ( |   11 |
|  45 |          |   Identifier |       aAA |   11 |
|  46 |        > |       Greate |         > |   11 |
|  47 |          |   Identifier |       bBB |   11 |
|  48 |        ) |      RBraket |         ) |   11 |
|  49 |    BEGIN |        Start |     BEGIN |   12 |
|  50 |       IF |           If |        IF |   13 |
|  51 |        ( |      LBraket |         ( |   13 |
|  52 |          |   Identifier |       aAA |   13 |
|  53 |        > |       Greate |         > |   13 |
|  54 |          |   Identifier |       cCC |   13 |
|  55 |        ) |      RBraket |         ) |   13 |
|  56 |    BEGIN |        Start |     BEGIN |   14 |
|  57 |     GOTO |         Goto |      GOTO |   15 |
|  58 |          |   Identifier |       tMP |   15 |
|  59 |        ; |    Semicolon |         ; |   15 |
|  60 |      END |          End |       END |   16 |
|  61 |     ELSE |         Else |      ELSE |   17 |
|  62 |    BEGIN |        Start |     BEGIN |   18 |
|  63 |    PRINT |        Write |     PRINT |   19 |
|  64 |        ( |      LBraket |         ( |   19 |
|  65 |          |   Identifier |       cCC |   19 |
|  66 |        ) |      RBraket |         ) |   19 |
|  67 |        ; |    Semicolon |         ; |   19 |
|  68 |     GOTO |         Goto |      GOTO |   20 |
|  69 |          |   Identifier |       oUT |   20 |
|  70 |        ; |    Semicolon |         ; |   20 |
|  71 |          |        Label |      tMP: |   21 |
|  72 |    PRINT |        Write |     PRINT |   22 |
|  73 |        ( |      LBraket |         ( |   22 |
|  74 |          |   Identifier |       aAA |   22 |
|  75 |        ) |      RBraket |         ) |   22 |
|  76 |        ; |    Semicolon |         ; |   22 |
|  77 |     GOTO |         Goto |      GOTO |   23 |
|  78 |          |   Identifier |       oUT |   23 |
|  79 |        ; |    Semicolon |         ; |   23 |
|  80 |      END |          End |       END |   24 |
|  81 |      END |          End |       END |   25 |
|  82 |       IF |           If |        IF |   26 |
|  83 |        ( |      LBraket |         ( |   26 |
|  84 |          |   Identifier |       bBB |   26 |
|  85 |        < |         Less |         < |   26 |
|  86 |          |   Identifier |       cCC |   26 |
|  87 |        ) |      RBraket |         ) |   26 |
|  88 |    BEGIN |        Start |     BEGIN |   27 |
|  89 |    PRINT |        Write |     PRINT |   28 |
|  90 |        ( |      LBraket |         ( |   28 |
|  91 |          |   Identifier |       cCC |   28 |
|  92 |        ) |      RBraket |         ) |   28 |
|  93 |        ; |    Semicolon |         ; |   28 |
|  94 |      END |          End |       END |   29 |
|  95 |     ELSE |         Else |      ELSE |   30 |
|  96 |    BEGIN |        Start |     BEGIN |   31 |
|  97 |    PRINT |        Write |     PRINT |   32 |
|  98 |        ( |      LBraket |         ( |   32 |
|  99 |          |   Identifier |       bBB |   32 |
| 100 |        ) |      RBraket |         ) |   32 |
| 101 |        ; |    Semicolon |         ; |   32 |
| 102 |      END |          End |       END |   33 |
| 103 |          |        Label |      oUT: |   34 |
| 104 |    PRINT |        Write |     PRINT |   35 |
| 105 |        ( |      LBraket |         ( |   35 |
| 106 |          |       String |        \n |   35 |
| 107 |        ) |      RBraket |         ) |   35 |
| 108 |        ; |    Semicolon |         ; |   35 |
| 109 |       IF |           If |        IF |   36 |
| 110 |        ( |      LBraket |         ( |   36 |
| 111 |        ( |      LBraket |         ( |   36 |
| 112 |          |   Identifier |       aAA |   36 |
| 113 |       EQ |        Equal |        EQ |   36 |
