====================================================================
|  #  |  SYMBOL  |      TYPE      |          VALUE          | LINE |
|=====|==========|================|=========================|======|
|  1  |  PROGRAM |        Program |                 PROGRAM |    2 |
|  2  |          |    ProgramName |                     pR3 |    2 |
|  3  |        ; |      Semicolon |                       ; |    2 |
|  4  |      VAR |           Vars |                     VAR |    3 |
|  5  |  LONGINT |        VarType |                 LONGINT |    3 |
|  6  |          |     Identifier |                     aAA |    3 |
|  7  |        , |          Comma |                       , |    3 |
|  8  |          |     Identifier |                     aA2 |    3 |
|  9  |        , |          Comma |                       , |    3 |
|  10 |          |     Identifier |                     bBB |    3 |
|  11 |        , |          Comma |                       , |    3 |
|  12 |          |     Identifier |                     xXX |    3 |
|  13 |        , |          Comma |                       , |    3 |
|  14 |          |     Identifier |                     cC1 |    3 |
|  15 |        , |          Comma |                       , |    3 |
|  16 |          |     Identifier |                     cC2 |    3 |
|  17 |        ; |      Semicolon |                       ; |    3 |
|  18 |    BEGIN |          Start |                   BEGIN |    4 |
|  19 |    PRINT |          Write |                   PRINT |    5 |
|  20 |        ( |        LBraket |                       ( |    5 |
|  21 |          |         String |               Input A:  |    5 |
|  22 |        ) |        RBraket |                       ) |    5 |
|  23 |        ; |      Semicolon |                       ; |    5 |
|  24 |     SCAN |           Read |                    SCAN |    6 |
|  25 |        ( |        LBraket |                       ( |    6 |
|  26 |          |     Identifier |                     aAA |    6 |
|  27 |        ) |        RBraket |                       ) |    6 |
|  28 |        ; |      Semicolon |                       ; |    6 |
|  29 |    PRINT |          Write |                   PRINT |    7 |
|  30 |        ( |        LBraket |                       ( |    7 |
|  31 |          |         String |               Input B:  |    7 |
|  32 |        ) |        RBraket |                       ) |    7 |
|  33 |        ; |      Semicolon |                       ; |    7 |
|  34 |     SCAN |           Read |                    SCAN |    8 |
|  35 |        ( |        LBraket |                       ( |    8 |
|  36 |          |     Identifier |                     bBB |    8 |
|  37 |        ) |        RBraket |                       ) |    8 |
|  38 |        ; |      Semicolon |                       ; |    8 |
|  39 |    PRINT |          Write |                   PRINT |    9 |
|  40 |        ( |        LBraket |                       ( |    9 |
|  41 |          |         String |               FOR TO DO |    9 |
|  42 |        ) |        RBraket |                       ) |    9 |
|  43 |        ; |      Semicolon |                       ; |    9 |
|  44 |      FOR |            For |                     FOR |   10 |
|  45 |          |     Identifier |                     aA2 |   10 |
|  46 |       <- |     Assignment |                      <- |   10 |
|  47 |          |     Identifier |                     aAA |   10 |
|  48 |       TO |             To |                      TO |   10 |
|  49 |          |     Identifier |                     bBB |   10 |
|  50 |       DO |             Do |                      DO |   10 |
|  51 |    BEGIN |          Start |                   BEGIN |   11 |
|  52 |    PRINT |          Write |                   PRINT |   12 |
|  53 |        ( |        LBraket |                       ( |   12 |
|  54 |          |         String |                      \n |   12 |
|  55 |        ) |        RBraket |                       ) |   12 |
|  56 |        ; |      Semicolon |                       ; |   12 |
|  57 |    PRINT |          Write |                   PRINT |   13 |
|  58 |        ( |        LBraket |                       ( |   13 |
|  59 |          |     Identifier |                     aA2 |   13 |
|  60 |      MUL | Multiplication |                     MUL |   13 |
|  61 |          |     Identifier |                     aA2 |   13 |
|  62 |        ) |        RBraket |                       ) |   13 |
|  63 |        ; |      Semicolon |                       ; |   13 |
|  64 |      END |            End |                     END |   14 |
|  65 |    PRINT |          Write |                   PRINT |   15 |
|  66 |        ( |        LBraket |                       ( |   15 |
|  67 |          |         String |         \nFOR DOWNTO DO |   15 |
|  68 |        ) |        RBraket |                       ) |   15 |
|  69 |        ; |      Semicolon |                       ; |   15 |
|  70 |      FOR |            For |                     FOR |   16 |
|  71 |          |     Identifier |                     aA2 |   16 |
|  72 |       <- |     Assignment |                      <- |   16 |
|  73 |          |     Identifier |                     bBB |   16 |
|  74 |   DOWNTO |         DownTo |                  DOWNTO |   16 |
|  75 |          |     Identifier |                     aAA |   16 |
|  76 |       DO |             Do |                      DO |   16 |
|  77 |    BEGIN |          Start |                   BEGIN |   17 |
|  78 |    PRINT |          Write |                   PRINT |   18 |
|  79 |        ( |        LBraket |                       ( |   18 |
|  80 |          |         String |                      \n |   18 |
|  81 |        ) |        RBraket |                       ) |   18 |
|  82 |        ; |      Semicolon |                       ; |   18 |
|  83 |    PRINT |          Write |                   PRINT |   19 |
|  84 |        ( |        LBraket |                       ( |   19 |
|  85 |          |     Identifier |                     aA2 |   19 |
|  86 |      MUL | Multiplication |                     MUL |   19 |
|  87 |          |     Identifier |                     aA2 |   19 |
|  88 |        ) |        RBraket |                       ) |   19 |
|  89 |        ; |      Semicolon |                       ; |   19 |
|  90 |      END |            End |                     END |   20 |
|  91 |    PRINT |          Write |                   PRINT |   22 |
|  92 |        ( |        LBraket |                       ( |   22 |
|  93 |          |         String |         \nWHILE A * B:  |   22 |
|  94 |        ) |        RBraket |                       ) |   22 |
|  95 |        ; |      Semicolon |                       ; |   22 |
|  96 |          |     Identifier |                     xXX |   23 |
|  97 |       <- |     Assignment |                      <- |   23 |
|  98 |          |         Number |                       0 |   23 |
|  99 |        ; |      Semicolon |                       ; |   23 |
| 100 |          |     Identifier |                     cC1 |   24 |
| 101 |       <- |     Assignment |                      <- |   24 |
| 102 |          |         Number |                       0 |   24 |
| 103 |        ; |      Semicolon |                       ; |   24 |
| 104 |    WHILE |          While |                   WHILE |   25 |
| 105 |        ( |        LBraket |                       ( |   25 |
| 106 |          |     Identifier |                     cC1 |   25 |
| 107 |        < |           Less |                       < |   25 |
| 108 |          |     Identifier |                     aAA |   25 |
